,Headline,Content,fakeness
0,Sudha Murty in Rajya Sabha: Who are the other nominated members and what is the process?,The philanthropist and former Infosys Foundation chairperson is the 12th nominated member of the Upper House and has the next six months to join a political party.,0
1,"Major takeaways from Congress first list for LS polls: Message to veterans, emphasis on south","Congress insiders say Rahul Gandhi, who has been named again from Wayanad, may also contest from Amethi in UP, suspense continues over Priyanka Gandhi’s poll debut from Raebareli",0
2,"BJP-TDP on the cusp of a poll deal, announcement likely after another round of talks tonight","Chandrababu Naidu, Pawan Kalyan to meet Amit Shah and J P Nadda to  discuss details of seat-sharing agreement",0
3,"Battleground Azamgarh: To retain Akhilesh’s former seat, BJP banks on Modi blitz","As SP looks to wrest control of its former stronghold, which it lost in a bypoll two years ago, BJP goes all out to win Azamgarh, which is crucial to its bid to sweep Purvanchal.",0
4,"As PM Modi announces another LPG price cut, why gas subsidies and elections go hand in hand","The reduction of Rs 100 per cylinder comes just months after the Centre slashed prices ahead of Assembly polls in five states, including three key Hindi heartland states.",0
5,"BJP’s choice to take on Asaduddin Owaisi in Hyderabad: Long-time RSS worker, mother of three","Madhavi Latha, who grew up in Old City area of Hyderabad, says she understands the diversity of cultures, will not let it become a Hindu-Muslim election",0
6,"As RSS apex body meets, Manipur, Sandeshkhali, farmer protests top of mind; to skirt Kashi, Mathura rows","On UCC, Sangh to reiterate that tribal communities be kept out, suggest ""wider consultation"" so that every region can ""come up with a solution and best possible application""",0
7,Decode Politics: Why TDP is in Delhi for another shot at alliance with BJP,"TDP saw its seats and vote share slide between when it fought polls in partnership with BJP, and alone",0
8,"Today in Politics: Is BJP set to seal alliance with TDP, JSP? Buzz grows as Naidu, Pawan Kalyan meet Amit Shah, Nadda",PM Modi is likely to make some announcements on International Women’s Day; PM will present first-ever National Creators Award.,0
9,"24 years after Biju Patnaik confidant was expelled from BJD, Naveen welcomes his son back","Arabinda, a greenhorn in politics, has been actively involved in public-connect exercise in his father’s bastion, Patkura Assembly segment in coastal Kendrapada district, after quitting his corporate job abroad.",0
10,"Congress CEC clears Rahul Gandhi from Wayanad, Bhupesh Baghel Rajnandgaon","CEC met to clear names of 60 candidates from 10 states, including Kerala, Karnataka, Telangana, Delhi and Chhattisgarh.",0
